Day Index,Avg. Session Duration
6/1/20,00:02:56
6/2/20,00:03:10
6/3/20,00:03:28
6/4/20,00:02:50
6/5/20,00:02:56
6/6/20,00:02:38
6/7/20,00:02:23
6/8/20,00:02:56
6/9/20,00:02:47
6/10/20,00:02:49
6/11/20,00:02:46
6/12/20,00:03:04
6/13/20,00:03:08
6/14/20,00:02:53
6/15/20,00:02:58
6/16/20,00:03:06
6/17/20,00:03:06
6/18/20,00:03:19
6/19/20,00:03:05
6/20/20,00:02:47
6/21/20,00:02:47
6/22/20,00:03:29
6/23/20,00:03:06
6/24/20,00:03:01
6/25/20,00:03:34
6/26/20,00:03:34
6/27/20,00:03:03
6/28/20,00:02:32
6/29/20,00:03:09
6/30/20,00:03:24
7/1/20,00:03:10
7/2/20,00:02:59
7/3/20,00:03:15
7/4/20,00:02:30
7/5/20,00:02:39
7/6/20,00:02:54
7/7/20,00:02:53
7/8/20,00:03:42
7/9/20,00:03:08
7/10/20,00:03:32
7/11/20,00:02:56
7/12/20,00:02:49
7/13/20,00:02:54
7/14/20,00:03:06
7/15/20,00:03:19
7/16/20,00:02:55
7/17/20,00:03:34
7/18/20,00:03:19
7/19/20,00:02:38
7/20/20,00:03:15
7/21/20,00:03:12
7/22/20,00:02:59
7/23/20,00:03:01
7/24/20,00:03:13
7/25/20,00:02:43
7/26/20,00:03:02
7/27/20,00:03:04
7/28/20,00:03:04
7/29/20,00:03:45
7/30/20,00:04:03
7/31/20,00:03:57
8/1/20,00:03:29
8/2/20,00:02:58
8/3/20,00:03:10
8/4/20,00:03:50
8/5/20,00:04:16
8/6/20,00:04:13
8/7/20,00:05:14
8/8/20,00:04:25
8/9/20,00:03:50
8/10/20,00:03:40
8/11/20,00:03:56
8/12/20,00:04:10
8/13/20,00:03:59
8/14/20,00:03:34
8/15/20,00:03:57
8/16/20,00:02:44
8/17/20,00:02:57
8/18/20,00:03:38
8/19/20,00:03:09
8/20/20,00:03:21
8/21/20,00:03:25
8/22/20,00:02:55
8/23/20,00:03:00
8/24/20,00:03:09
8/25/20,00:03:17
8/26/20,00:03:14
8/27/20,00:03:23
8/28/20,00:03:27
8/29/20,00:02:46
8/30/20,00:02:53
8/31/20,00:03:03
9/1/20,00:03:01
9/2/20,00:03:29
9/3/20,00:03:28
9/4/20,00:02:46
9/5/20,00:02:57
9/6/20,00:02:30
9/7/20,00:02:44
9/8/20,00:03:11
9/9/20,00:02:59
9/10/20,00:03:16
9/11/20,00:02:53
9/12/20,00:03:00
9/13/20,00:02:40
9/14/20,00:02:50
9/15/20,00:03:05
9/16/20,00:03:10
9/17/20,00:03:55
9/18/20,00:03:22
9/19/20,00:02:52
9/20/20,00:03:11
9/21/20,00:03:57
9/22/20,00:03:11
9/23/20,00:03:51
9/24/20,00:03:36
9/25/20,00:03:50
9/26/20,00:03:38
9/27/20,00:03:12
9/28/20,00:03:47
9/29/20,00:03:36
9/30/20,00:03:16
10/1/20,00:03:12
10/2/20,00:03:29
10/3/20,00:03:53
10/4/20,00:03:09
10/5/20,00:02:52
10/6/20,00:03:01
10/7/20,00:03:22
10/8/20,00:03:27
10/9/20,00:03:15
10/10/20,00:02:54
10/11/20,00:03:05
10/12/20,00:03:37
10/13/20,00:03:14
10/14/20,00:03:27
10/15/20,00:03:25
10/16/20,00:03:43
10/17/20,00:03:04
10/18/20,00:03:03
10/19/20,00:03:22
10/20/20,00:02:51
10/21/20,00:02:55
10/22/20,00:03:07
10/23/20,00:02:54
10/24/20,00:02:57
10/25/20,00:02:43
10/26/20,00:02:57
10/27/20,00:02:41
10/28/20,00:03:03
10/29/20,00:03:05
10/30/20,00:03:16
10/31/20,00:02:19
11/1/20,00:02:44
11/2/20,00:03:15
11/3/20,00:03:02
11/4/20,00:03:08
11/5/20,00:03:37
11/6/20,00:03:51
11/7/20,00:02:43
11/8/20,00:02:52
11/9/20,00:03:48
11/10/20,00:03:27
11/11/20,00:03:17
11/12/20,00:03:50
11/13/20,00:03:38
11/14/20,00:03:07
11/15/20,00:03:13
11/16/20,00:03:23
11/17/20,00:04:02
11/18/20,00:03:25
11/19/20,00:03:50
11/20/20,00:03:35
11/21/20,00:03:20
11/22/20,00:03:13
11/23/20,00:03:39
11/24/20,00:04:09
11/25/20,00:03:49
11/26/20,00:03:10
11/27/20,00:03:34
11/28/20,00:03:05
11/29/20,00:03:41
11/30/20,00:03:58
12/1/20,00:03:38
12/2/20,00:03:26
12/3/20,00:03:41
12/4/20,00:03:37
12/5/20,00:03:12
12/6/20,00:03:12
12/7/20,00:03:48
12/8/20,00:03:44
12/9/20,00:03:47
12/10/20,00:03:47
12/11/20,00:03:37
12/12/20,00:02:47
12/13/20,00:03:18
12/14/20,00:03:45
12/15/20,00:04:03
12/16/20,00:03:34
12/17/20,00:03:39
12/18/20,00:03:36
12/19/20,00:03:19
12/20/20,00:02:32
12/21/20,00:03:18
12/22/20,00:02:58
12/23/20,00:03:08
12/24/20,00:02:15
12/25/20,00:02:14
12/26/20,00:02:02
12/27/20,00:02:15
12/28/20,00:02:29
12/29/20,00:02:32
12/30/20,00:02:14
12/31/20,00:02:12
1/1/21,00:02:07
1/2/21,00:01:53
1/3/21,00:02:41
1/4/21,00:02:14
1/5/21,00:02:49
1/6/21,00:02:23
1/7/21,00:02:38
1/8/21,00:02:47
1/9/21,00:02:20
1/10/21,00:02:13
1/11/21,00:02:32
1/12/21,00:02:45
1/13/21,00:03:05
1/14/21,00:03:00
1/15/21,00:03:02
1/16/21,00:02:31
1/17/21,00:02:24
1/18/21,00:02:20
1/19/21,00:04:03
1/20/21,00:03:10
1/21/21,00:03:10
1/22/21,00:03:30
1/23/21,00:02:43
1/24/21,00:03:10
1/25/21,00:02:41
1/26/21,00:02:31
1/27/21,00:02:52
1/28/21,00:02:44
1/29/21,00:02:47
1/30/21,00:03:02
1/31/21,00:02:29
2/1/21,00:03:01
2/2/21,00:02:46
2/3/21,00:02:49
2/4/21,00:02:58
2/5/21,00:02:57
2/6/21,00:02:39
2/7/21,00:02:35
2/8/21,00:02:49
2/9/21,00:02:42
2/10/21,00:03:03
2/11/21,00:03:01
2/12/21,00:03:02
