Day Index,Bounce Rate
6/1/20,49.49%
6/2/20,48.04%
6/3/20,49.92%
6/4/20,52.88%
6/5/20,49.12%
6/6/20,54.88%
6/7/20,56.93%
6/8/20,51.50%
6/9/20,48.97%
6/10/20,51.11%
6/11/20,51.93%
6/12/20,48.04%
6/13/20,51.32%
6/14/20,51.84%
6/15/20,46.88%
6/16/20,44.64%
6/17/20,46.93%
6/18/20,45.11%
6/19/20,48.52%
6/20/20,50.38%
6/21/20,48.46%
6/22/20,46.51%
6/23/20,47.77%
6/24/20,48.44%
6/25/20,43.93%
6/26/20,45.67%
6/27/20,50.54%
6/28/20,52.07%
6/29/20,47.90%
6/30/20,45.04%
7/1/20,45.84%
7/2/20,50.43%
7/3/20,50.42%
7/4/20,53.40%
7/5/20,52.33%
7/6/20,46.40%
7/7/20,47.52%
7/8/20,41.90%
7/9/20,43.97%
7/10/20,42.11%
7/11/20,47.93%
7/12/20,48.80%
7/13/20,42.31%
7/14/20,47.11%
7/15/20,44.21%
7/16/20,45.26%
7/17/20,42.96%
7/18/20,49.36%
7/19/20,50.26%
7/20/20,45.27%
7/21/20,47.29%
7/22/20,48.05%
7/23/20,47.41%
7/24/20,44.39%
7/25/20,53.06%
7/26/20,46.99%
7/27/20,44.27%
7/28/20,44.11%
7/29/20,39.99%
7/30/20,41.63%
7/31/20,39.35%
8/1/20,43.59%
8/2/20,45.05%
8/3/20,44.67%
8/4/20,34.99%
8/5/20,33.86%
8/6/20,37.46%
8/7/20,30.27%
8/8/20,37.00%
8/9/20,43.28%
8/10/20,36.58%
8/11/20,40.10%
8/12/20,39.84%
8/13/20,40.12%
8/14/20,42.57%
8/15/20,44.34%
8/16/20,44.36%
8/17/20,41.81%
8/18/20,39.33%
8/19/20,38.63%
8/20/20,41.18%
8/21/20,40.81%
8/22/20,46.69%
8/23/20,44.44%
8/24/20,42.15%
8/25/20,41.63%
8/26/20,42.83%
8/27/20,39.19%
8/28/20,39.92%
8/29/20,44.82%
8/30/20,43.29%
8/31/20,41.09%
9/1/20,41.50%
9/2/20,38.94%
9/3/20,39.74%
9/4/20,46.22%
9/5/20,44.25%
9/6/20,44.29%
9/7/20,44.96%
9/8/20,42.02%
9/9/20,43.09%
9/10/20,44.76%
9/11/20,45.56%
9/12/20,49.58%
9/13/20,49.85%
9/14/20,44.85%
9/15/20,45.89%
9/16/20,44.19%
9/17/20,39.62%
9/18/20,41.44%
9/19/20,45.40%
9/20/20,44.92%
9/21/20,40.51%
9/22/20,43.25%
9/23/20,38.83%
9/24/20,42.44%
9/25/20,36.57%
9/26/20,42.18%
9/27/20,41.86%
9/28/20,39.07%
9/29/20,39.87%
9/30/20,40.84%
10/1/20,40.57%
10/2/20,38.95%
10/3/20,43.26%
10/4/20,39.62%
10/5/20,42.24%
10/6/20,42.77%
10/7/20,39.42%
10/8/20,38.79%
10/9/20,39.32%
10/10/20,43.85%
10/11/20,40.64%
10/12/20,40.45%
10/13/20,40.10%
10/14/20,41.30%
10/15/20,40.94%
10/16/20,40.15%
10/17/20,45.09%
10/18/20,46.03%
10/19/20,45.67%
10/20/20,48.14%
10/21/20,46.06%
10/22/20,45.36%
10/23/20,48.29%
10/24/20,51.34%
10/25/20,50.87%
10/26/20,49.03%
10/27/20,48.91%
10/28/20,47.86%
10/29/20,48.56%
10/30/20,46.56%
10/31/20,52.66%
11/1/20,47.18%
11/2/20,44.47%
11/3/20,46.80%
11/4/20,47.04%
11/5/20,44.50%
11/6/20,45.60%
11/7/20,49.06%
11/8/20,45.90%
11/9/20,41.13%
11/10/20,43.55%
11/11/20,41.86%
11/12/20,39.84%
11/13/20,40.10%
11/14/20,47.08%
11/15/20,44.86%
11/16/20,40.29%
11/17/20,39.73%
11/18/20,40.74%
11/19/20,40.26%
11/20/20,38.59%
11/21/20,41.44%
11/22/20,43.27%
11/23/20,41.55%
11/24/20,41.62%
11/25/20,46.39%
11/26/20,46.16%
11/27/20,44.47%
11/28/20,44.75%
11/29/20,46.44%
11/30/20,41.15%
12/1/20,43.50%
12/2/20,42.43%
12/3/20,42.38%
12/4/20,46.20%
12/5/20,50.10%
12/6/20,49.77%
12/7/20,44.72%
12/8/20,47.00%
12/9/20,47.59%
12/10/20,45.92%
12/11/20,48.83%
12/12/20,52.14%
12/13/20,51.67%
12/14/20,46.84%
12/15/20,46.71%
12/16/20,45.69%
12/17/20,46.19%
12/18/20,49.30%
12/19/20,52.86%
12/20/20,55.17%
12/21/20,46.35%
12/22/20,47.99%
12/23/20,48.45%
12/24/20,58.02%
12/25/20,58.77%
12/26/20,59.72%
12/27/20,55.69%
12/28/20,52.86%
12/29/20,54.86%
