Day Index,Sessions
6/1/20,"2,277"
6/2/20,"2,504"
6/3/20,"2,492"
6/4/20,"2,606"
6/5/20,"2,677"
6/6/20,"1,833"
6/7/20,"1,971"
6/8/20,"2,697"
6/9/20,"2,677"
6/10/20,"2,919"
6/11/20,"2,692"
6/12/20,"2,240"
6/13/20,"1,699"
6/14/20,"1,742"
6/15/20,"2,368"
6/16/20,"2,491"
6/17/20,"2,346"
6/18/20,"2,217"
6/19/20,"1,925"
6/20/20,"1,560"
6/21/20,"1,595"
6/22/20,"2,479"
6/23/20,"2,349"
6/24/20,"2,242"
6/25/20,"2,973"
6/26/20,"2,332"
6/27/20,"1,561"
6/28/20,"1,523"
6/29/20,"2,409"
6/30/20,"2,218"
7/1/20,"2,042"
7/2/20,"1,850"
7/3/20,"1,666"
7/4/20,"1,337"
7/5/20,"1,521"
7/6/20,"3,138"
7/7/20,"3,384"
7/8/20,"3,098"
7/9/20,"3,029"
7/10/20,"2,771"
7/11/20,"1,546"
7/12/20,"1,715"
7/13/20,"3,028"
7/14/20,"2,821"
7/15/20,"2,746"
7/16/20,"2,446"
7/17/20,"2,444"
7/18/20,"1,572"
7/19/20,"1,713"
7/20/20,"2,704"
7/21/20,"2,508"
7/22/20,"2,416"
7/23/20,"2,124"
7/24/20,"1,863"
7/25/20,"1,387"
7/26/20,"1,396"
7/27/20,"2,078"
7/28/20,"2,079"
7/29/20,"2,368"
7/30/20,"2,049"
7/31/20,"1,812"
8/1/20,"1,193"
8/2/20,"1,354"
8/3/20,"2,559"
8/4/20,"4,095"
8/5/20,"2,918"
8/6/20,"2,240"
8/7/20,"3,422"
8/8/20,"1,689"
8/9/20,"1,548"
8/10/20,"2,846"
8/11/20,"2,167"
8/12/20,"2,048"
8/13/20,"1,954"
8/14/20,"1,776"
8/15/20,"1,184"
8/16/20,"1,118"
8/17/20,"1,887"
8/18/20,"1,958"
8/19/20,"2,679"
8/20/20,"2,093"
8/21/20,"1,845"
8/22/20,"1,086"
8/23/20,"1,179"
8/24/20,"1,720"
8/25/20,"1,840"
8/26/20,"1,898"
8/27/20,"2,105"
8/28/20,"1,573"
8/29/20,"1,158"
8/30/20,"1,148"
8/31/20,"1,779"
9/1/20,"1,752"
9/2/20,"1,985"
9/3/20,"1,706"
9/4/20,"1,283"
9/5/20,"1,053"
9/6/20,"1,183"
9/7/20,"1,370"
9/8/20,"1,987"
9/9/20,"1,926"
9/10/20,"2,167"
9/11/20,"2,105"
9/12/20,"1,297"
9/13/20,"1,364"
9/14/20,"2,205"
9/15/20,"2,166"
9/16/20,"2,023"
9/17/20,"2,057"
9/18/20,"1,747"
9/19/20,"1,044"
9/20/20,"1,200"
9/21/20,"2,128"
9/22/20,"2,053"
9/23/20,"1,978"
9/24/20,"1,932"
9/25/20,"2,007"
9/26/20,"1,259"
9/27/20,"1,388"
9/28/20,"2,183"
9/29/20,"2,463"
9/30/20,"2,828"
10/1/20,"2,396"
10/2/20,"1,877"
10/3/20,"1,195"
10/4/20,"1,353"
10/5/20,"2,422"
10/6/20,"2,607"
10/7/20,"2,499"
10/8/20,"2,405"
10/9/20,"2,281"
10/10/20,"1,284"
10/11/20,"1,427"
10/12/20,"2,331"
10/13/20,"2,312"
10/14/20,"2,322"
10/15/20,"2,096"
10/16/20,"2,020"
10/17/20,"1,488"
10/18/20,"1,538"
10/19/20,"2,774"
10/20/20,"2,856"
10/21/20,"2,931"
10/22/20,"2,652"
10/23/20,"2,456"
10/24/20,"1,720"
10/25/20,"1,840"
10/26/20,"3,027"
10/27/20,"3,073"
10/28/20,"3,082"
10/29/20,"2,982"
10/30/20,"2,702"
10/31/20,"1,599"
11/1/20,"1,702"
11/2/20,"2,820"
11/3/20,"2,923"
11/4/20,"2,819"
11/5/20,"2,701"
11/6/20,"2,373"
11/7/20,"1,490"
11/8/20,"1,475"
11/9/20,"2,463"
11/10/20,"2,691"
11/11/20,"2,334"
11/12/20,"2,372"
11/13/20,"2,127"
11/14/20,"1,336"
11/15/20,"1,480"
11/16/20,"2,708"
11/17/20,"2,711"
