Day Index,Avg. Session Duration
2020-06-01,176
2020-06-02,190
2020-06-03,208
2020-06-04,170
2020-06-05,176
2020-06-06,158
2020-06-07,143
2020-06-08,176
2020-06-09,167
2020-06-10,169
2020-06-11,166
2020-06-12,184
2020-06-13,188
2020-06-14,173
2020-06-15,178
2020-06-16,186
2020-06-17,186
2020-06-18,199
2020-06-19,185
2020-06-20,167
2020-06-21,167
2020-06-22,209
2020-06-23,186
2020-06-24,181
2020-06-25,214
2020-06-26,214
2020-06-27,183
2020-06-28,152
2020-06-29,189
2020-06-30,204
2020-07-01,190
2020-07-02,179
2020-07-03,195
2020-07-04,150
2020-07-05,159
2020-07-06,174
2020-07-07,173
2020-07-08,222
2020-07-09,188
2020-07-10,212
2020-07-11,176
2020-07-12,169
2020-07-13,174
2020-07-14,186
2020-07-15,199
2020-07-16,175
2020-07-17,214
2020-07-18,199
2020-07-19,158
2020-07-20,195
2020-07-21,192
2020-07-22,179
2020-07-23,181
2020-07-24,193
2020-07-25,163
2020-07-26,182
2020-07-27,184
2020-07-28,184
2020-07-29,225
2020-07-30,243
2020-07-31,237
2020-08-01,209
2020-08-02,178
2020-08-03,190
2020-08-04,230
2020-08-05,256
2020-08-06,253
2020-08-07,314
2020-08-08,265
2020-08-09,230
2020-08-10,220
2020-08-11,236
2020-08-12,250
2020-08-13,239
2020-08-14,214
2020-08-15,237
2020-08-16,164
2020-08-17,177
2020-08-18,218
2020-08-19,189
2020-08-20,201
2020-08-21,205
2020-08-22,175
2020-08-23,180
2020-08-24,189
2020-08-25,197
2020-08-26,194
2020-08-27,203
2020-08-28,207
2020-08-29,166
2020-08-30,173
2020-08-31,183
2020-09-01,181
2020-09-02,209
2020-09-03,208
2020-09-04,166
2020-09-05,177
2020-09-06,150
2020-09-07,164
2020-09-08,191
2020-09-09,179
2020-09-10,196
2020-09-11,173
2020-09-12,180
2020-09-13,160
2020-09-14,170
2020-09-15,185
2020-09-16,190
2020-09-17,235
2020-09-18,202
2020-09-19,172
2020-09-20,191
2020-09-21,237
2020-09-22,191
2020-09-23,231
2020-09-24,216
2020-09-25,230
2020-09-26,218
2020-09-27,192
2020-09-28,227
2020-09-29,216
2020-09-30,196
2020-10-01,192
2020-10-02,209
2020-10-03,233
2020-10-04,189
2020-10-05,172
2020-10-06,181
2020-10-07,202
2020-10-08,207
2020-10-09,195
2020-10-10,174
2020-10-11,185
2020-10-12,217
2020-10-13,194
2020-10-14,207
2020-10-15,205
2020-10-16,223
2020-10-17,184
2020-10-18,183
2020-10-19,202
2020-10-20,171
2020-10-21,175
2020-10-22,187
2020-10-23,174
2020-10-24,177
2020-10-25,163
2020-10-26,177
2020-10-27,161
2020-10-28,183
2020-10-29,185
2020-10-30,196
2020-10-31,139
2020-11-01,164
2020-11-02,195
2020-11-03,182
2020-11-04,188
2020-11-05,217
2020-11-06,231
2020-11-07,163
2020-11-08,172
2020-11-09,228
2020-11-10,207
2020-11-11,197
2020-11-12,230
2020-11-13,218
2020-11-14,187
2020-11-15,193
2020-11-16,203
2020-11-17,242
2020-11-18,205
2020-11-19,230
2020-11-20,215
2020-11-21,200
2020-11-22,193
2020-11-23,219
2020-11-24,249
2020-11-25,229
2020-11-26,190
2020-11-27,214
2020-11-28,185
2020-11-29,221
2020-11-30,238
2020-12-01,218
2020-12-02,206
2020-12-03,221
2020-12-04,217
2020-12-05,192
2020-12-06,192
2020-12-07,228
2020-12-08,224
2020-12-09,227
2020-12-10,227
2020-12-11,217
2020-12-12,167
2020-12-13,198
2020-12-14,225
2020-12-15,243
2020-12-16,214
2020-12-17,219
2020-12-18,216
2020-12-19,199
2020-12-20,152
2020-12-21,198
2020-12-22,178
2020-12-23,188
2020-12-24,135
2020-12-25,134
2020-12-26,122
2020-12-27,135
2020-12-28,149
2020-12-29,152
2020-12-30,134
2020-12-31,132
2021-01-01,127
2021-01-02,113
2021-01-03,161
2021-01-04,134
2021-01-05,169
2021-01-06,143
2021-01-07,158
2021-01-08,167
2021-01-09,140
2021-01-10,133
2021-01-11,152
2021-01-12,165
2021-01-13,185
2021-01-14,180
2021-01-15,182
2021-01-16,151
2021-01-17,144
2021-01-18,140
2021-01-19,243
2021-01-20,190
2021-01-21,190
2021-01-22,210
2021-01-23,163
2021-01-24,190
2021-01-25,161
2021-01-26,151
2021-01-27,172
2021-01-28,164
2021-01-29,167
2021-01-30,182
2021-01-31,149
2021-02-01,181
2021-02-02,166
2021-02-03,169
2021-02-04,178
2021-02-05,177
2021-02-06,159
2021-02-07,155
2021-02-08,169
2021-02-09,162
2021-02-10,183
2021-02-11,181
2021-02-12,182
2021-02-13,179
2021-02-14,178
2021-02-15,175
2021-02-16,170
2021-02-17,191
2021-02-18,206
2021-02-19,180
2021-02-20,152
2021-02-21,164
2021-02-22,188
2021-02-23,170
2021-02-24,179
2021-02-25,211
2021-02-26,180
2021-02-27,149
2021-02-28,160
2021-03-01,172
2021-03-02,151
2021-03-03,162
2021-03-04,163
2021-03-05,179
2021-03-06,141
2021-03-07,153
2021-03-08,170
2021-03-09,157
2021-03-10,164
2021-03-11,190
2021-03-12,188
2021-03-13,135
2021-03-14,148
2021-03-15,161
2021-03-16,184
2021-03-17,191
2021-03-18,167
2021-03-19,200
2021-03-20,152
2021-03-21,163
2021-03-22,188
2021-03-23,163
2021-03-24,189
2021-03-25,155
2021-03-26,143
2021-03-27,131
2021-03-28,145
2021-03-29,186
2021-03-30,171
2021-03-31,180
2021-04-01,187
2021-04-02,191
2021-04-03,162
2021-04-04,171
2021-04-05,179
2021-04-06,183
2021-04-07,178
2021-04-08,175
2021-04-09,161
2021-04-10,155
2021-04-11,141
2021-04-12,160
2021-04-13,198
2021-04-14,185
2021-04-15,152
2021-04-16,170
2021-04-17,201
2021-04-18,175
