Day Index,Bounce Rate
2020-06-01,49.49
2020-06-02,48.04
2020-06-03,49.92
2020-06-04,52.88
2020-06-05,49.12
2020-06-06,54.88
2020-06-07,56.93
2020-06-08,51.5
2020-06-09,48.97
2020-06-10,51.11
2020-06-11,51.93
2020-06-12,48.04
2020-06-13,51.32
2020-06-14,51.84
2020-06-15,46.88
2020-06-16,44.64
2020-06-17,46.93
2020-06-18,45.11
2020-06-19,48.52
2020-06-20,50.38
2020-06-21,48.46
2020-06-22,46.51
2020-06-23,47.77
2020-06-24,48.44
2020-06-25,43.93
2020-06-26,45.67
2020-06-27,50.54
2020-06-28,52.07
2020-06-29,47.9
2020-06-30,45.04
2020-07-01,45.84
2020-07-02,50.43
2020-07-03,50.42
2020-07-04,53.4
2020-07-05,52.33
2020-07-06,46.4
2020-07-07,47.52
2020-07-08,41.9
2020-07-09,43.97
2020-07-10,42.11
2020-07-11,47.93
2020-07-12,48.8
2020-07-13,42.31
2020-07-14,47.11
2020-07-15,44.21
2020-07-16,45.26
2020-07-17,42.96
2020-07-18,49.36
2020-07-19,50.26
2020-07-20,45.27
2020-07-21,47.29
2020-07-22,48.05
2020-07-23,47.41
2020-07-24,44.39
2020-07-25,53.06
2020-07-26,46.99
2020-07-27,44.27
2020-07-28,44.11
2020-07-29,39.99
2020-07-30,41.63
2020-07-31,39.35
2020-08-01,43.59
2020-08-02,45.05
2020-08-03,44.67
2020-08-04,34.99
2020-08-05,33.86
2020-08-06,37.46
2020-08-07,30.27
2020-08-08,37.0
2020-08-09,43.28
2020-08-10,36.58
2020-08-11,40.1
2020-08-12,39.84
2020-08-13,40.12
2020-08-14,42.57
2020-08-15,44.34
2020-08-16,44.36
2020-08-17,41.81
2020-08-18,39.33
2020-08-19,38.63
2020-08-20,41.18
2020-08-21,40.81
2020-08-22,46.69
2020-08-23,44.44
2020-08-24,42.15
2020-08-25,41.63
2020-08-26,42.83
2020-08-27,39.19
2020-08-28,39.92
2020-08-29,44.82
2020-08-30,43.29
2020-08-31,41.09
2020-09-01,41.5
2020-09-02,38.94
2020-09-03,39.74
2020-09-04,46.22
2020-09-05,44.25
2020-09-06,44.29
2020-09-07,44.96
2020-09-08,42.02
2020-09-09,43.09
2020-09-10,44.76
2020-09-11,45.56
2020-09-12,49.58
2020-09-13,49.85
2020-09-14,44.85
2020-09-15,45.89
2020-09-16,44.19
2020-09-17,39.62
2020-09-18,41.44
2020-09-19,45.4
2020-09-20,44.92
2020-09-21,40.51
2020-09-22,43.25
2020-09-23,38.83
2020-09-24,42.44
2020-09-25,36.57
2020-09-26,42.18
2020-09-27,41.86
2020-09-28,39.07
2020-09-29,39.87
2020-09-30,40.84
2020-10-01,40.57
2020-10-02,38.95
2020-10-03,43.26
2020-10-04,39.62
2020-10-05,42.24
2020-10-06,42.77
2020-10-07,39.42
2020-10-08,38.79
2020-10-09,39.32
2020-10-10,43.85
2020-10-11,40.64
2020-10-12,40.45
2020-10-13,40.1
2020-10-14,41.3
2020-10-15,40.94
2020-10-16,40.15
2020-10-17,45.09
2020-10-18,46.03
2020-10-19,45.67
2020-10-20,48.14
2020-10-21,46.06
2020-10-22,45.36
2020-10-23,48.29
2020-10-24,51.34
2020-10-25,50.87
2020-10-26,49.03
2020-10-27,48.91
2020-10-28,47.86
2020-10-29,48.56
2020-10-30,46.56
2020-10-31,52.66
2020-11-01,47.18
2020-11-02,44.47
2020-11-03,46.8
2020-11-04,47.04
2020-11-05,44.5
2020-11-06,45.6
2020-11-07,49.06
2020-11-08,45.9
2020-11-09,41.13
2020-11-10,43.55
2020-11-11,41.86
2020-11-12,39.84
2020-11-13,40.1
2020-11-14,47.08
2020-11-15,44.86
2020-11-16,40.29
2020-11-17,39.73
2020-11-18,40.74
2020-11-19,40.26
2020-11-20,38.59
2020-11-21,41.44
2020-11-22,43.27
2020-11-23,41.55
2020-11-24,41.62
2020-11-25,46.39
2020-11-26,46.16
2020-11-27,44.47
2020-11-28,44.75
2020-11-29,46.44
2020-11-30,41.15
2020-12-01,43.5
2020-12-02,42.43
2020-12-03,42.38
2020-12-04,46.2
2020-12-05,50.1
2020-12-06,49.77
2020-12-07,44.72
2020-12-08,47.0
2020-12-09,47.59
2020-12-10,45.92
2020-12-11,48.83
2020-12-12,52.14
2020-12-13,51.67
2020-12-14,46.84
2020-12-15,46.71
2020-12-16,45.69
2020-12-17,46.19
2020-12-18,49.3
2020-12-19,52.86
2020-12-20,55.17
2020-12-21,46.35
2020-12-22,47.99
2020-12-23,48.45
2020-12-24,58.02
2020-12-25,58.77
2020-12-26,59.72
2020-12-27,55.69
2020-12-28,52.86
2020-12-29,54.86
2020-12-30,53.91
2020-12-31,57.93
2021-01-01,57.83
2021-01-02,59.44
2021-01-03,55.49
2021-01-04,53.57
2021-01-05,51.93
2021-01-06,53.4
2021-01-07,52.71
2021-01-08,52.03
2021-01-09,56.57
2021-01-10,56.6
2021-01-11,50.49
2021-01-12,49.23
2021-01-13,49.33
2021-01-14,50.36
2021-01-15,50.42
2021-01-16,55.32
2021-01-17,55.03
2021-01-18,54.11
2021-01-19,47.43
2021-01-20,51.73
2021-01-21,50.65
2021-01-22,51.84
2021-01-23,56.9
2021-01-24,55.38
2021-01-25,53.15
2021-01-26,53.63
2021-01-27,49.19
2021-01-28,51.87
2021-01-29,52.57
2021-01-30,53.98
2021-01-31,53.89
2021-02-01,50.44
2021-02-02,51.12
2021-02-03,50.92
2021-02-04,49.85
2021-02-05,49.32
2021-02-06,53.23
2021-02-07,52.55
2021-02-08,50.19
2021-02-09,50.58
2021-02-10,50.88
2021-02-11,49.45
2021-02-12,49.64
2021-02-13,51.77
2021-02-14,52.09
2021-02-15,53.21
2021-02-16,50.37
2021-02-17,48.6
2021-02-18,51.45
2021-02-19,51.33
2021-02-20,53.51
2021-02-21,54.34
2021-02-22,48.98
2021-02-23,49.94
2021-02-24,49.52
2021-02-25,50.66
2021-02-26,52.7
2021-02-27,43.79
2021-02-28,51.95
2021-03-01,54.57
2021-03-02,51.99
2021-03-03,53.32
2021-03-04,51.78
2021-03-05,50.15
2021-03-06,55.72
2021-03-07,56.06
2021-03-08,51.02
2021-03-09,53.18
2021-03-10,51.41
2021-03-11,48.32
2021-03-12,49.94
2021-03-13,58.19
2021-03-14,57.38
2021-03-15,51.19
2021-03-16,49.93
2021-03-17,52.0
2021-03-18,50.19
2021-03-19,50.34
2021-03-20,55.56
2021-03-21,53.99
2021-03-22,53.61
2021-03-23,52.98
2021-03-24,52.82
2021-03-25,52.87
2021-03-26,57.0
2021-03-27,57.72
2021-03-28,55.54
2021-03-29,49.71
2021-03-30,52.37
2021-03-31,50.32
2021-04-01,51.91
2021-04-02,49.64
2021-04-03,55.32
2021-04-04,56.93
2021-04-05,50.22
2021-04-06,51.56
2021-04-07,50.27
2021-04-08,50.61
2021-04-09,52.71
2021-04-10,56.53
2021-04-11,58.81
2021-04-12,52.44
2021-04-13,51.38
2021-04-14,51.92
2021-04-15,56.4
2021-04-16,56.81
2021-04-17,57.32
2021-04-18,57.1
2021-04-19,57.61
2021-04-20,58.29
2021-04-21,56.15
2021-04-22,56.16
2021-04-23,55.53
2021-04-24,58.7
2021-04-25,60.84
2021-04-26,56.95
2021-04-27,56.2
2021-04-28,53.88
2021-04-29,56.56
2021-04-30,49.88
2021-05-01,52.64
2021-05-02,54.6
2021-05-03,49.92
2021-05-04,51.08
2021-05-05,49.33
2021-05-06,43.34
2021-05-07,49.15
2021-05-08,56.77
2021-05-09,51.59
2021-05-10,45.27
2021-05-11,46.84
2021-05-12,45.6
2021-05-13,46.03
2021-05-14,46.56
2021-05-15,52.77
2021-05-16,54.1
2021-05-17,46.35
2021-05-18,47.72
2021-05-19,46.95
2021-05-20,46.91
2021-05-21,44.58
2021-05-22,53.16
2021-05-23,51.58
2021-05-24,46.72
2021-05-25,44.06
2021-05-26,45.79
2021-05-27,45.7
